ID,Pais,Estado/Distrito/Región,Ciudad,Calle (con el número),Código Postal
A01,Italy,Lazio,Roma,SS4 716,00138
A02,Denmark,Syddanmark,Padborg,Vejgårdsparken 535,DK-1762
A03,Cyprus,Nicosia,Strovolos,Aristofanous 28c,2039
A04,Iceland,Bláskógabyggð,Reykholt,Biskupstungnabraut 2a,806
A05,Slovenia,Žilinský,Stará Ľubovňa,Ondavská ulica 78,739 03
A06,Latvia,Tukuma novads,Tukums,Laubītes iela 23,3101
A07,Moldova,Chișinău,Chișinău,Strada Plaiului 41,2002
A08,Netherlands,Zuid-Holland,Nieuw-Beijerland,Spuidijk 16a,3264 LD
A09,Sweden,Stockholms län,Hägersten-Liljeholmen,Liljeholmsstranden 7,117 43
A10,France,Nouvelle-Aquitaine,Panazol,Avenue Georges Guingouin 2,87350
A11,Spain,Andalucía,Córdoba,Calle Ingeniero Barbudo 2C,14013
A12,Lithuania,Vilniaus apskritis,Vilnius,Kaminkelio gatvė 1F,02182
A13,Finland,Uusimaa,Helsinki,Vallinkoskentie 9,00560
B01,United Kingdom,England,Nechells,Railway Terrace 2,B7 5NG
B02,Finland,Uusimaa,Helsinki,Jyrängöntie 2,00560
B03,Hungary,Zala,Hajdúsámson,Klapka györgy 423,0792
B04,Slovakia,Košický kraj,Barca,Andraščíkova 710/6,040 17
B05,Czech Republic,Jihočeský,Hora Svaté Kateřiny,Chocholka 113,751 77
B06,Germany,Berlin,Berlin,Ackerstraße 60,13355
B07,Luxembourg,Luxembourg,Luxembourg,Rue de Bouillon 59,1248
B08,Czech Republic,Jihočeský,Bruntál,K Nemocnici 920,965 18
B09,Ukraine,Donets'ka oblast,Donetsk,Chasov-Yars'ka Street 58,83000
B10,Ukraine,Zaporiz'ka oblast,Zaporizhzhia,Pryvokzalna Street 11,69000
B11,Belgium,Bruxelles,Ixelles,Rue du Viaduc 133,1050
B12,Denmark,Nordjylland,Fjenneslev,Lyøvej 1066,DK-7034
B13,Croatia,Splitsko-dalmatinska županija,Plano,Put Sv. Marte 18,21220
C01,Estonia,Harju maakond,Tallinn,Kentmanni 10,10116
C02,Slovakia,Trnavský kraj,Trnava,Nová 8144/10,917 01
C03,Switzerland,Zürich,Zürich,Weineggstrasse 44,8008
C04,Spain,Andalucía,Córdoba,Calle Cronista Salcedo Hierro 0J,14001
C05,Switzerland,Bern,Bellmund,Almeli 1,2564
C06,Moldova,Basarabeasca,Basarabeasca,Strada Octombrie 224,6701
C07,Andorra,Andorra la Vella,Andorra la Vella,Carretera de la Comella i de la Plana 64,AD500
C08,Hungary,Veszprém,Balmazújváros,Pozsonyi 1182,1932
C09,United Kingdom,England,Belle Isle,Middleton Road 25-27,LS10 3BS
C10,Norway,Oslo,Sentrum,Akershusstranda 13,0150
C11,Croatia,Splitsko-dalmatinska županija,Mastrinka,Blaža Jurjeva Trogiranina 28,21220
C12,Belgium,Région Wallonne,Liège,Rue Méan 7,4020
C13,Monaco,Nouvelle-Aquitaine,Nîmes,De La Residence De L'Aure 17,68992
D01,Ireland,County Dublin,Dublin,Richmond Parade 5,D01 AX96
D02,Portugal,Porto,Porto,Rua do Jornal de Notícias 35,4100-431
D03,Iceland,Reykjavíkurborg,Reykjavík,Starengi 76,112
D04,Andorra,Andorra la Vella,Santa Coloma,Carrer Pobladó 13,AD500
D05,Moldova,Хакасия,Казань,Академика Туполева 1341,878797
D06,Austria,Steiermark,Graz,Fuchsenfeldweg 16,8041
D07,France,Hauts-de-France,Ronchin,Rue Jean Massieu 4,59790
D08,Estonia,Lääne-Viru maakond,Rakvere,Tuleviku tänav 17,44310
D09,Bulgaria,Burgas,Burgas,"ulitsa ""Industrialna"" 2",8002
D10,Georgia,New York,Melrose Park,Milton I Ross 1091,28107
D11,Sweden,Uppsala län,Centrum,Vaksalagatan 7,753 20
D12,Greece,Νησιά Αιγαίου Πελάγους,Πειραιάς,Αηδόνων 951,49644
D13,Cyprus,Nicosia,Strovolos,Kyriakou Matsi 56,2060
E01,Germany,Hamburg,Hamburg,Blumenstraße 10,22301
E02,Austria,Niederösterreich,Sankt Pölten,Spratzerner Weg 325,3104
E03,Bulgaria,Sofia City Province,Sofia,"Boulevard ""Tsarigradsko shose"" 111",1784
E04,Iceland,Kópavogsbær,Kópavogur,Víghólastígur 21,200
E05,Slovenia,Žilinský,Rimavská Sobota,Štefana Rosívala 887,668 44
E06,Sweden,Östergötlands län,Enebymo,Sandbyhovsgatan 3,602 11
E07,Ireland,County Limerick,Limerick,Mill Road 2,V94 N6KD
E08,Spain,Andalucía,Córdoba,Calle Poeta Pablo García Baena 11,14012
E09,Hungary,Zala,Ócsa,Jázmin 763,7495
E10,Italy,Liguria,Genova,Via Posalunga 46b,16132
E11,United Kingdom,England,Cheetham Hill,Queens Road 353,M9 5FF
E12,Netherlands,Noord-Brabant,Sint-Michielsgestel,Dooibroek 1A,5271 TZ
E13,Poland,Województwo małopolskie,Zielonki,Bankowa 56,32-087
F01,Netherlands,Noord-Brabant,Eindhoven,Zutphenstraat 9,5651 ES
F02,Georgia,Wyoming,Wadsworth,Bass 535,23297
F03,Belgium,Vlaams Gewest,Leuven,Hoegaardsestraat 141,3000
F04,Luxembourg,Luxembourg,Luxembourg,Allée des Châtaigniers 1,1366
F05,Estonia,Harju maakond,Tallinn,Vana-Tartu Maantee 4,10112
F06,Slovakia,Banskobystrický kraj,Zvolen,Jána Bottu 34,960 01
F07,Norway,Møre og Romsdal,Kringsjå,Bekkevollvegen 19,6414
F08,Cyprus,Nicosia,Aglantzia,Grigoriou Lampraki 5,2108
